N,n,C,Q,A,agent_answer,extracted_number,Correct
18,18,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
19,19,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
20,20,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92.",11503415.92,True
21,21,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
22,22,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
23,23,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The sum of exposures for the three largest loans is 11,503,415.92 CHF.",11503415.92,True
24,24,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
25,25,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans in the portfolio is 11503415.92.,11503415.92,True
26,26,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"Total exposure of the three largest loans is CHF 11,503,415.92.",11503415.92,True
27,27,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
28,28,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the top 3 loans is 11503415.92 CHF.,11503415.92,True
29,29,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
30,30,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the top 3 loan(s): 11503415.92,11503415.92,True
31,31,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
32,32,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
33,33,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92,11503415.92,True
34,34,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
35,35,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92 CHF.",11503415.92,True
36,36,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
37,37,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
38,38,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans in the portfolio: 11503415.92,11503415.92,True
39,39,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the top 3 loans: 11503415.92 CHF,11503415.92,True
40,40,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
41,41,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
42,42,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the three largest loans: 11503415.92,11503415.92,True
43,43,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
44,44,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the three largest loans: 11503415.92,11503415.92,True
45,45,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
46,46,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans: 11503415.92,11503415.92,True
47,47,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
48,48,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
49,49,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
50,50,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans: 11503415.92 CHF.,11503415.92,True
51,51,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"I ran the analysis by loading the CSV files with latin1 encoding, selecting the top 3 loans by Exposure, and summing their exposures.

Code used (summary):
- Load data with encoding='latin1'
- Convert Exposure to numeric
- Identify top 3 loans by Exposure
- Sum exposures and report by currency

Result:
- The three largest loans are all denominated in CHF.
- Total exposure of the top 3 loans: 11,503,415.92 CHF

Final answer:
The total exposure of the top 3 loans is 11,503,415.92 CHF.",11503415.92,True
52,52,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans: 11503415.92 CHF,11503415.92,True
53,53,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
54,54,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
55,55,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is CHF 11,503,415.92.",11503415.92,True
56,56,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92.",11503415.92,True
57,57,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
58,58,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
59,59,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the top 3 loans is CHF 11,503,415.92.",11503415.92,True
60,60,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
61,61,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92.",11503415.92,True
62,62,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
63,63,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
64,64,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
65,65,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92.",11503415.92,True
66,66,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the top 3 loans is 11,503,415.92 CHF.",11503415.92,True
67,67,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
68,68,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
69,69,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
70,70,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
71,71,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
72,72,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
73,73,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
74,74,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the 3 largest loans is 11,503,415.92 CHF.",11503415.92,True
75,75,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
76,76,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
77,77,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
78,78,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The sum of exposures for the three largest loans is 11,503,415.92 CHF.",11503415.92,True
79,79,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the top 3 loans is 11,503,415.92 CHF. All three of these largest exposures are in CHF.",11503415.92,True
80,80,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
81,81,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
82,82,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
83,83,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"Total exposure of the 3 largest loans: $11,503,415.92",11503415.92,True
84,84,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
85,85,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
86,86,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the top 3 loans is 11,503,415.92.",11503415.92,True
87,87,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans is 11503415.92,11503415.92,True
88,88,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92 CHF.",11503415.92,True
89,89,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans: 11503415.92 CHF,11503415.92,True
90,90,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
91,91,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
92,92,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the three largest loans: 11503415.92,11503415.92,True
93,93,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
94,94,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
95,95,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"CHF 11,503,415.92",11503415.92,True
96,96,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
97,97,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
98,98,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
99,99,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans: 11503415.92,11503415.92,True
100,100,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
100,1,1B,What is the combined exposure of the top three loans in the portfolio in CHF?,11503415.92,The combined exposure of the top three CHF loans is 11503415.92 CHF.,11503415.92,True
200,2,1B,How much is the total exposure for the three largest loans in the portfolio?,11503415.92,"Top 3 loans by exposure (highest Exposure):
- ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Exposure 4269020.01 CHF, LoanClass Mortgage, Type Rollover
- ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Exposure 3839462.76 CHF, LoanClass Mortgage, Type Rollover
- ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Exposure 3394933.15 CHF, LoanClass Mortgage, Type Rollover
Total exposure by currency for these top 3 loans:
- CHF: 11503415.92",11503415.92,True
103,3,1B,Please provide the aggregate exposure of the three biggest loans in the portfolio?,11503415.92,"CHF 11,503,415.92",11503415.92,True
104,4,1B,What is the sum of exposures for the largest three loans in the portfolio?,11503415.92,The sum of exposures for the largest three loans is 11503415.92 CHF.,11503415.92,True
105,5,1B,Calculate the cumulative exposure of the top three loans in the portfolio?,11503415.92,"The cumulative exposure of the top three loans in the portfolio is 11,503,415.92 CHF.",11503415.92,True
106,6,1B,What is the exposure total for the portfolio's three largest loans?,11503415.92,The exposure total for the portfolio's three largest loans is 11503415.92 CHF.,11503415.92,True
107,7,1B,How much exposure do the three largest loans in the portfolio represent in total?,11503415.92,"Total exposure of the three largest loans: 11,503,415.92 CHF",11503415.92,True
108,8,1B,Give me the total exposure across the top three loans in the portfolio?,11503415.92,"Total exposure across the top three loans: 11,503,415.92",11503415.92,True
109,9,1B,What is the combined notional of the three biggest loans in the portfolio?,11503415.92,"Combined notional of the three largest loans: CHF 11,503,415.92",11503415.92,True
110,10,1B,Provide the sum of exposure for the three largest loans in the loan book?,11503415.92,Sum of the three largest loan exposures is 11503415.92.,11503415.92,True
111,11,1B,What is the aggregate exposure of the portfolio's top three loans?,11503415.92,The aggregate exposure of the portfolio's top three loans is 11503415.92.,11503415.92,True
112,12,1B,Can you tell me the total exposure of the three largest loans in the portfolio?,11503415.92,"Total exposure of the three largest loans: 11,503,415.92 CHF",11503415.92,True
113,13,1B,What is the cumulative exposure for the top three loans in our portfolio?,11503415.92,"11,503,415.92 CHF",11503415.92,True
114,14,1B,How much combined exposure do the three biggest loans in the portfolio have?,11503415.92,The combined exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
115,15,1B,What is the total notional amount for the three largest loans in the portfolio?,11503415.92,The total notional amount for the three largest loans is 11503415.92 CHF.,11503415.92,True
116,16,1B,Report the aggregate exposure of the three largest loans in the portfolio?,11503415.92,"The aggregate exposure of the top three loans is 11,503,415.92.",11503415.92,True
117,17,1B,What is the summed exposure of the portfolio's three biggest loans?,11503415.92,The sum of exposures of the portfolio's three largest loans is 11503415.92.,11503415.92,True
118,18,1B,Calculate the total exposure of the three largest loan positions in the portfolio?,11503415.92,"Total exposure of the three largest loan positions: 11503415.92 (CHF).
Top 3 loans details:
  ClientID CollateralID   Exposure ExposureCCY LoanClass     Type   Maturity
ECHRUXCNYI 72XHWHWARKEJ 4269020.01         CHF  Mortgage Rollover 31.03.2026
HBVVIWQIBV 88IXNYZAZGBC 3839462.76         CHF  Mortgage Rollover 31.05.2026
CATVCCUFMF 75BUIJXPNONX 3394933.15         CHF  Mortgage Rollover 28.02.2026",11503415.92,True
119,19,1B,What is the combined exposure for the top three loans in the portfolio?,11503415.92,"Top 3 loans by Exposure (largest first):
- ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Exposure 4269020.01 CHF
- ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Exposure 3839462.76 CHF
- ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Exposure 3394933.15 CHF
Combined exposure: 11503415.92 CHF
",11503415.92,True
120,20,1B,"How much exposure, in total, is tied to the portfolio's three largest loans?",11503415.92,The total exposure tied to the portfolio's three largest loans is 11503415.92 CHF.,11503415.92,True
121,21,1B,What is the total exposure of the largest three credits in the portfolio?,11503415.92,"Total exposure of the largest three credits: 11,503,415.92 CHF",11503415.92,True
122,22,1B,Provide the cumulative exposure of the portfolio's top three loans?,11503415.92,Cumulative exposure of portfolio's top 3 loans: 11503415.92 CHF,11503415.92,True
123,23,1B,What is the aggregate exposure across the three biggest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
124,24,1B,How much is the sum of exposures for the portfolio's top three loans?,11503415.92,The sum of exposures for the portfolio's top 3 loans is 11503415.92.,11503415.92,True
125,25,1B,What is the total exposure of the three highest-exposure loans in the portfolio?,11503415.92,Total exposure of the three highest-exposure loans: 11503415.92 CHF,11503415.92,True
126,26,1B,Please calculate the combined notional of the three largest loans in the portfolio?,11503415.92,The combined notional of the three largest loans is 11503415.92 CHF.,11503415.92,True
127,27,1B,What is the total exposure across the three largest facilities in the portfolio?,11503415.92,"The total exposure across the three largest facilities is 11503415.92 CHF.
Top 3 facilities by Exposure:
CollateralID   ClientID   Exposure ExposureCCY  PropertyMarketValue
72XHWHWARKEJ ECHRUXCNYI 4269020.01         CHF              4760000
88IXNYZAZGBC HBVVIWQIBV 3839462.76         CHF              4105000
75BUIJXPNONX CATVCCUFMF 3394933.15         CHF              4319000",11503415.92,True
128,28,1B,How much combined exposure do the portfolio's top three loans carry?,11503415.92,"Top 3 loans by Exposure (sorted descending):
- Loan ClientECHRUXCNYI_Collateral72XHWHWARKEJ: Exposure 4269020.01 CHF (ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Type Rollover, Maturity 31.03.2026)
- Loan ClientHBVVIWQIBV_Collateral88IXNYZAZGBC: Exposure 3839462.76 CHF (ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Type Rollover, Maturity 31.05.2026)
- Loan ClientCATVCCUFMF_Collateral75BUIJXPNONX: Exposure 3394933.15 CHF (ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Type Rollover, Maturity 28.02.2026)

Combined exposure by currency for these top 3 loans:
- CHF: 11503415.92",11503415.92,True
129,29,1B,What is the sum of the exposures for the three largest loans in the portfolio?,11503415.92,The sum of the exposures for the three largest loans is 11503415.92 CHF.,11503415.92,True
130,30,1B,Provide the total exposure of the portfolio's three largest loan positions?,11503415.92,"Three largest loan positions by exposure:
1. Client: César Ziltener (ID ECHRUXCNYI), Collateral: 72XHWHWARKEJ, Type: Rollover, LoanClass: Mortgage, Exposure: 4269020.01 CHF, Maturity: 31.03.2026, PropertyType: Single-Family Home, Location: Scheuerhansli 146, 4937 Ursenbach, Switzerland
2. Client: Kenza Afra (ID HBVVIWQIBV), Collateral: 88IXNYZAZGBC, Type: Rollover, LoanClass: Mortgage, Exposure: 3839462.76 CHF, Maturity: 31.05.2026, PropertyType: Apartment, Location: Chemin des Champs-de-Vaux 28, 1246 Corsier GE, Switzerland
3. Client: Yosyas Meier (ID CATVCCUFMF), Collateral: 75BUIJXPNONX, Type: Rollover, LoanClass: Mortgage, Exposure: 3394933.15 CHF, Maturity: 28.02.2026, PropertyType: Apartment, Location: Asperstrieweg 11, 5025 Asp, Switzerland

Total exposure of these three positions: 11503415.92
Total exposure by currency for these top 3:
  CHF: 11503415.92",11503415.92,True
131,31,1B,What is the cumulative exposure of the top three loans in the loan book?,11503415.92,The cumulative exposure of the top three loans is 11503415.92.,11503415.92,True
132,32,1B,How much exposure in total do the three biggest loans account for in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
133,33,1B,What is the aggregate exposure of the three largest loans by exposure in the portfolio?,11503415.92,"Aggregate exposure of the three largest loans: 11,503,415.92 CHF",11503415.92,True
134,34,1B,Please share the total exposure for the portfolio's top three loans?,11503415.92,The total exposure for the portfolio's top three loans is 11503415.92 CHF.,11503415.92,True
135,35,1B,What is the combined exposure amount of the three largest loans in the portfolio?,11503415.92,The combined exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
136,36,1B,Calculate the sum of exposures for the portfolio's three biggest loans?,11503415.92,"The sum of exposures for the portfolio's three biggest loans is 11503415.92.
Currency breakdown among these top 3: 11503415.92 CHF.
Top 3 loans details:
  ClientID CollateralID LoanClass     Type   Exposure ExposureCCY
ECHRUXCNYI 72XHWHWARKEJ  Mortgage Rollover 4269020.01         CHF
HBVVIWQIBV 88IXNYZAZGBC  Mortgage Rollover 3839462.76         CHF
CATVCCUFMF 75BUIJXPNONX  Mortgage Rollover 3394933.15         CHF",11503415.92,True
137,37,1B,What is the total exposure of the three largest borrowers in the portfolio?,11503415.92,"Three largest borrowers by total exposure:
- Joélie Hindle (ClientID KXHAEPQYPR): 12051353.36
- Letizia Breitenmoser (ClientID XHWLSPYLZU): 8465519.11
- César Ziltener (ClientID ECHRUXCNYI): 4269020.01

Combined exposure of the three largest borrowers: 24785892.479999997",24785892.479999997,False
138,38,1B,How much total exposure is associated with the top three loans in the portfolio?,11503415.92,"The total exposure of the top three loans is 11,503,415.92 CHF.",11503415.92,True
139,39,1B,What is the aggregate exposure for the largest three loan facilities in the portfolio?,11503415.92,"The aggregate exposure of the top 3 loan facilities is 11,503,415.92 CHF.",11503415.92,True
140,40,1B,Provide the cumulative exposure across the portfolio's three largest loans?,11503415.92,"Top 3 loans by exposure:
Client ECHRUXCNYI (Collateral 72XHWHWARKEJ): Exposure 4269020.01 CHF | LoanClass: Mortgage, Type: Rollover
Client HBVVIWQIBV (Collateral 88IXNYZAZGBC): Exposure 3839462.76 CHF | LoanClass: Mortgage, Type: Rollover
Client CATVCCUFMF (Collateral 75BUIJXPNONX): Exposure 3394933.15 CHF | LoanClass: Mortgage, Type: Rollover

Total exposure across top 3 loans: 11,503,415.92 CHF.",11503415.92,True
141,41,1B,What is the total exposure tied to the three biggest loans in our portfolio?,11503415.92,The total exposure tied to the three biggest loans is 11503415.92 CHF.,11503415.92,True
142,42,1B,How much is the combined exposure for the three largest credits in the portfolio?,11503415.92,"The combined exposure for the three largest credits is 11,503,415.92 CHF.",11503415.92,True
143,43,1B,What is the summed exposure of the three largest loans in the portfolio?,11503415.92,The sum of the exposures of the three largest loans is 11503415.92 CHF.,11503415.92,True
144,44,1B,Please provide the total exposure for the portfolio's largest three loans?,11503415.92,Total exposure of the three largest loans: 11503415.92 CHF,11503415.92,True
145,45,1B,What is the aggregate exposure of the top three loan positions in the portfolio?,11503415.92,11503415.92,11503415.92,True
146,46,1B,How much combined exposure do the top three loans have in the portfolio?,11503415.92,Combined exposure of the top three loans: 11503415.92 CHF.,11503415.92,True
147,47,1B,What is the cumulative exposure of the three largest loans in the portfolio?,11503415.92,"Three largest loans by exposure:
- ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Exposure 4269020.01 CHF
- ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Exposure 3839462.76 CHF
- ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Exposure 3394933.15 CHF

Cumulative exposure by currency for these top 3 loans:
- CHF: 11503415.92",11503415.92,True
148,48,1B,Calculate the total exposure carried by the portfolio's three biggest loans?,11503415.92,Total exposure of the top 3 loans: 11503415.92 CHF,11503415.92,True
149,49,1B,What is the sum total exposure of the three largest loans in the portfolio?,11503415.92,The sum total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
150,50,1B,How much exposure in aggregate do the portfolio's top three loans represent?,11503415.92,"Top 3 loans by exposure (in CHF):
Client ECHRUXCNYI - Collateral 72XHWHWARKEJ: 4269020.01 CHF
Client HBVVIWQIBV - Collateral 88IXNYZAZGBC: 3839462.76 CHF
Client CATVCCUFMF - Collateral 75BUIJXPNONX: 3394933.15 CHF
Aggregate exposure: 11503415.92 CHF.",11503415.92,True
151,51,1B,What is the total exposure attributable to the top three loans in the portfolio?,11503415.92,The total exposure of the top 3 loans is 11503415.92 CHF.,11503415.92,True
152,52,1B,How much do the three largest loans add up to in total exposure?,11503415.92,The sum of the three largest loans' exposure is 11503415.92.,11503415.92,True
153,53,1B,Please state the combined exposure of the portfolio's three biggest loans?,11503415.92,"Top 3 loans by exposure:
1. Client César Ziltener (ID ECHRUXCNYI), Collateral 72XHWHWARKEJ, Exposure 4269020.01 CHF, LoanClass Mortgage, Type Rollover, CollateralType Single-Family Home, Country Switzerland
2. Client Kenza Afra (ID HBVVIWQIBV), Collateral 88IXNYZAZGBC, Exposure 3839462.76 CHF, LoanClass Mortgage, Type Rollover, CollateralType Apartment, Country Switzerland
3. Client Yosyas Meier (ID CATVCCUFMF), Collateral 75BUIJXPNONX, Exposure 3394933.15 CHF, LoanClass Mortgage, Type Rollover, CollateralType Apartment, Country Switzerland

Exposure totals by currency for the top 3:
- CHF: 11503415.92",11503415.92,True
154,54,1B,What total exposure do the largest three loans contribute to the portfolio?,11503415.92,11503415.92,11503415.92,True
